,tcompound,tdate,tneg,tneu,tpos,tsource,ttext
0,0.0,Sat Jul 21 19:43:05 +0000 2018,0.0,1.0,0.0,BBC News (UK),India scraps tampon tax after campaign https://t.co/wmNv2cEIJB
1,-0.7783,Sat Jul 21 19:40:53 +0000 2018,0.493,0.507,0.0,BBC News (UK),Ethiopian 'prophet' arrested after trying to resurrect corpse https://t.co/kFFzjPDUAx
2,-0.6249,Sat Jul 21 19:38:13 +0000 2018,0.439,0.382,0.178,BBC News (UK),Ballymena United anger over race car pitch damage https://t.co/7OTLOYPbVL
3,0.0,Sat Jul 21 19:12:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),Jordan Spieth leads The Open as Tiger Woods moves into contention https://t.co/gk9B7cIZOh
4,0.5719,Sat Jul 21 19:10:06 +0000 2018,0.0,0.791,0.209,BBC News (UK),"Tour de France 2018: Omar Fraile wins stage 14, Geraint Thomas still in yellow https://t.co/xOjWnH6PWK"
5,0.296,Sat Jul 21 16:58:22 +0000 2018,0.0,0.694,0.306,BBC News (UK),Government admits rabies poster gaffe https://t.co/6yljjjWXvp
6,0.0,Sat Jul 21 14:54:31 +0000 2018,0.0,1.0,0.0,BBC News (UK),James Gunn: Dave Bautista defends Guardians of the Galaxy director https://t.co/K4iX4SAfJ5
7,-0.0972,Sat Jul 21 14:42:20 +0000 2018,0.237,0.557,0.207,BBC News (UK),Tanyalee Davis: More train trouble for disabled comedian https://t.co/C8CAWEy4B9
8,-0.4404,Sat Jul 21 14:30:46 +0000 2018,0.244,0.756,0.0,BBC News (UK),Trump attacks Michael Cohen over 'Playboy model payment tape' https://t.co/sm4Qh2plVv
9,0.0,Sat Jul 21 14:20:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),The Open 2018: Justin Rose shoots 64 at Carnoustie https://t.co/hoWz5Hqkim
10,0.0,Sat Jul 21 14:01:15 +0000 2018,0.0,1.0,0.0,BBC News (UK),Newsreader's debut wearing hearing aid https://t.co/c0MqrGTHcU
11,0.0,Sat Jul 21 13:53:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),M1 breakdown driver 'had somewhere to be' https://t.co/h2TXjhxiXL
12,0.0,Sat Jul 21 13:18:45 +0000 2018,0.0,1.0,0.0,BBC News (UK),Buffy the Vampire Slayer to get TV reboot https://t.co/tjVqNtlgRs
